PokemonID;Name;NickName;CP / MaxCP;IV Perfection in %;Attack 1;Attack 2;HP;Attk;Def;Stamina;Familie Candies;IsInGym;IsFavorite;previewLink
21;Spearow;;317/372;"44,73";PeckFast;Twister;47;13;4;1;43;;No;http://poke.isitin.org/#MjEsMjIsMTksMzE3LDQ3
133;Eevee;;379/430;"44,44";TackleFast;BodySlam;62;2;9;15;15;;No;http://poke.isitin.org/#MTMzLDIyLDE0LDM3OSw2Mg==
16;Pidgey;;112/132;"44,23";TackleFast;AerialAce;29;5;13;5;9;;No;http://poke.isitin.org/#MTYsMjIsNywxMTIsMjk=
69;Bellsprout;;448/510;"44,14";VineWhipFast;SludgeBomb;58;9;3;9;9;;No;http://poke.isitin.org/#NjksMjIsMTYsNDQ4LDU4
18;Pidgeot;;1034/1135;"43,63";WingAttackFast;AirCutter;97;7;12;1;9;;No;http://poke.isitin.org/#MTgsMjIsMTksMTAzNCw5Nw==
29;NidoranFemale;;33/38;"42,62";BiteFast;BodySlam;19;4;14;5;13;;No;http://poke.isitin.org/#MjksMjIsMiwzMywxOQ==
92;Gastly;;273/321;"42,21";LickFast;SludgeBomb;33;5;8;7;12;;No;http://poke.isitin.org/#OTIsMjIsMTQsMjczLDMz
80;Slowbro;;1021/1113;"42,16";WaterGunFast;IceBeam;102;5;7;9;37;;No;http://poke.isitin.org/#ODAsMjIsMTUsMTAyMSwxMDI=
102;Exeggcute;;100/115;"41,84";ConfusionFast;SeedBomb;34;3;8;13;10;;No;http://poke.isitin.org/#MTAyLDIyLDQsMTAwLDM0
99;Kingler;;419/466;"41,65";MetalClawFast;XScissor;48;5;1;12;11;;No;http://poke.isitin.org/#OTksMjIsOSw0MTksNDg=
136;Flareon;;1174/1283;"40,79";EmberFast;Flamethrower;75;0;15;7;15;;No;http://poke.isitin.org/#MTM2LDIyLDE3LDExNzQsNzU=
85;Dodrio;;123/136;"40,62";FeintAttackFast;AerialAce;27;5;5;9;9;;No;http://poke.isitin.org/#ODUsMjIsMywxMjMsMjc=
54;Psyduck;;469/538;"39,99";WaterGunFast;CrossChop;58;3;11;7;40;;No;http://poke.isitin.org/#NTQsMjIsMTcsNDY5LDU4
32;NidoranMale;;205/240;"39,28";PoisonStingFast;SludgeBomb;42;4;7;9;22;;No;http://poke.isitin.org/#MzIsMjIsMTAsMjA1LDQy
72;Tentacool;;57/67;"38,60";BubbleFast;Wrap;18;4;8;8;23;;No;http://poke.isitin.org/#NzIsMjIsMyw1NywxOA==
41;Zubat;;228/275;"38,38";QuickAttackFast;SludgeBomb;48;2;6;14;19;;No;http://poke.isitin.org/#NDEsMjIsMTUsMjI4LDQ4
79;Slowpoke;;334/383;"38,16";WaterGunFast;Psychic;80;5;11;1;37;;No;http://poke.isitin.org/#NzksMjIsMTEsMzM0LDgw
60;Poliwag;;364/432;"37,49";MudShotFast;BodySlam;50;4;8;7;21;;No;http://poke.isitin.org/#NjAsMjIsMTksMzY0LDUw
41;Zubat;;212/257;"37,15";BiteFast;PoisonFang;42;3;13;5;19;;No;http://poke.isitin.org/#NDEsMjIsMTQsMjEyLDQy
84;Doduo;;162/192;"35,57";PeckFast;Swift;29;5;2;9;9;;No;http://poke.isitin.org/#ODQsMjIsOCwxNjIsMjk=
135;Jolteon;;988/1100;"35,16";ThunderShockFast;Thunder;77;2;11;6;15;;No;http://poke.isitin.org/#MTM1LDIyLDE4LDk4OCw3Nw==
58;Growlithe;;561/648;"32,34";BiteFast;BodySlam;64;3;6;7;9;;No;http://poke.isitin.org/#NTgsMjIsMTcsNTYxLDY0
55;Golduck;;1098/1227;"29,06";WaterGunFast;HydroPump;97;2;1;12;40;;No;http://poke.isitin.org/#NTUsMjIsMTgsMTA5OCw5Nw==
42;Golbat;;871/988;"28,17";BiteFast;PoisonFang;92;1;1;14;19;;No;http://poke.isitin.org/#NDIsMjIsMTgsODcxLDky
123;Scyther;;997/1125;"28,05";SteelWingFast;BugBuzz;87;0;5;11;3;;No;http://poke.isitin.org/#MTIzLDIyLDE5LDk5Nyw4Nw==
111;Rhyhorn;;14/16;"26,07";RockSmashFast;HornAttack;16;1;5;12;3;;No;http://poke.isitin.org/#MTExLDIyLDEsMTQsMTY=
2;Ivysaur;;647/746;"26,01";VineWhipFast;SolarBeam;68;0;6;9;6;;No;http://poke.isitin.org/#MiwyMiwxNiw2NDcsNjg=
7;Squirtle;;455/547;"25,54";BubbleFast;WaterPulse;54;0;13;5;17;;No;http://poke.isitin.org/#NywyMiwxOSw0NTUsNTQ=
44;Gloom;;586/675;"24,42";AcidFast;SludgeBomb;63;3;0;8;7;;No;http://poke.isitin.org/#NDQsMjIsMTQsNTg2LDYz
86;Seel;;96/115;"23,17";WaterGunFast;IcyWind;35;0;10;7;6;;No;http://poke.isitin.org/#ODYsMjIsNCw5NiwzNQ==
2;Ivysaur;;723/839;"22,10";VineWhipFast;SludgeBomb;69;2;7;3;6;;No;http://poke.isitin.org/#MiwyMiwxOCw3MjMsNjk=
8;Wartortle;;347/404;"21,44";WaterGunFast;IceBeam;51;0;2;10;17;;No;http://poke.isitin.org/#OCwyMiw5LDM0Nyw1MQ==
35;Clefairy;;371/446;"18,14";PoundFast;BodySlam;67;5;0;1;3;;No;http://poke.isitin.org/#MzUsMjIsMTMsMzcxLDY3
66;Machop;;280/342;"16,57";LowKickFast;LowSweep;65;2;0;8;3;;No;http://poke.isitin.org/#NjYsMjIsMTEsMjgwLDY1
134;Vaporeon;;1408/1609;"9,52";WaterGunFast;AquaTail;156;1;2;2;15;;No;http://poke.isitin.org/#MTM0LDIyLDIwLDE0MDgsMTU2
86;Seel;;65/82;"6,59";IceShardFast;AquaTail;28;0;5;0;6;;No;http://poke.isitin.org/#ODYsMjIsMyw2NSwyOA==
